ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
6	10	0	5,6	2,0	298	149	0.516025931031	0.9026233501387235
20	0	26	1,2	10,11	298	149	0.621312723611	0.9657459594694627
23	2	336	4,2	146,175	166	149	0.67964541	1.0
24	18	1	7,2	0,0	182	149	0.242242337752	0.6020895587507135
27	0	2	2,2	0,0	298	149	3.2064706823e-07	4.867727873891619e-05
28	40	1	6,0	0,0	298	149	1	1.0
61	1	13	4,0	14,16	200	149	0.602549291696	0.9592584467900959
66	1	2	1,4	3,6	191	149	0.884484695002	1.0
67	5	2	0,0	4,0	233	149	1	1.0
68	0	2	0,4	0,0	235	149	1	1.0
71	0	2	3,0	0,5	266	149	0.0679312287556	0.2590487527187234
79	0	15	2,0	15,13	168	149	0.549400157248	0.9266353104798202
82	1	3	3,6	0,0	271	149	3.23293963289e-06	0.00022356795705887915
83	1	3	6,8	0,0	244	149	3.72936655924e-06	0.00024137973356402878
95	4	8	1,3	23,16	166	149	0.0412603680886	0.1868438259466716
99	5	41	3,0	34,16	152	149	0.141767002181	0.4349886457680731
102	5	2	6,5	7,0	152	149	0.821781137527	1.0
107	0	9	4,0	8,6	258	149	0.0496641582912	0.21252259950650418
117	15	4	9,14	3,10	257	149	0.245310456445	0.6058612842949497
121	3	31	0,0	7,5	152	149	0.0325638726385	0.156818166120148
156	2	2	5,19	0,0	298	149	0.000771930328173	0.012491948660992508
166	18	2	13,12	0,2	298	149	0.208259086892	0.5565213487105583
167	2	0	2,2	2,1	256	149	0.00384623857142	0.03772864174057526
168	75	4	80,40	2,0	298	149	0.0551722933829	0.23082581536047925
170	77	0	100,26	2,0	289	149	0.383944460534	0.7891779111427414
172	15	3	20,18	1,2	215	149	0.196664312972	0.536785813146178
173	0	19	3,2	10,4	164	149	0.00400375434093	0.03891453914294159
179	4	0	5,13	0,2	184	149	0.647042894737	0.9813381296011209
181	1	0	3,5	4,0	152	149	0.0225853788893	0.12183111319642707
187	1	2	0,1	0,0	298	149	1	1.0
216	0	9	2,1	4,5	298	149	0.129706483083	0.40699238983130315
218	0	5	0,1	3,1	172	149	1	1.0
222	4	10	1,2	6,0	152	149	0.448999461896	0.8495016525367644
254	2	0	0,0	0,2	298	149	1	1.0
257	0	2	2,0	0,2	298	149	0.227572946807	0.5860849622095153
259	0	84	5,4	88,95	254	149	0.0865326603793	0.30792219904630264
282	2	42	0,0	44,49	167	149	0.887315092717	1.0
285	33	17	49,46	10,12	298	149	0.0417031867299	0.18805922743936182
286	42	0	75,72	3,0	155	149	0.501011380979	0.8906123609301057
288	4	0	0,0	0,1	152	149	1	1.0
289	3	77	9,1	62,41	191	149	0.163082779508	0.478296137140298
308	9	47	11,6	51,52	176	149	0.747136842357	1.0
309	2	81	8,0	75,51	176	149	0.21091158242	0.5612571992946244
311	48	0	8,27	0,2	283	149	0.510481137126	0.8981312721620794
342	4	14	16,13	39,38	152	149	0.561359621535	0.9350127865483698
361	8	2	6,6	5,2	152	149	0.315709784224	0.6996961544070827
374	0	68	2,0	134,112	179	149	1	1.0
375	104	1	175,230	0,0	200	149	0.873192966058	1.0
380	1	1	0,4	0,0	166	149	1	1.0
398	13	24	0,2	13,14	152	149	0.000207840024264	0.004732814266811657
399	10	12	18,5	9,22	298	149	0.747916664542	1.0
424	4	3	10,9	7,4	152	149	0.652854730247	0.9849980501786256
428	0	14	0,1	6,16	204	149	1	1.0
429	17	1	4,18	0,0	191	149	0.237368378862	0.5961170027473259
431	6	5	8,10	6,2	214	149	0.330175942997	0.7184989121327209
432	6	5	8,8	6,2	298	149	0.404821199378	0.811167344808
439	11	2	19,32	0,0	298	149	0.0364638160839	0.16871791825177535
462	2	2	4,4	4,2	152	149	0.639277294483	0.9760613097757681
472	100	2	41,52	0,2	169	149	0.672280073931	0.9982435378165011
476	1	1	4,2	0,0	190	149	0.0372697519082	0.1716993772880659
501	4	46	0,2	7,21	211	149	0.301631829609	0.6820622058063631
504	0	8	0,2	17,14	201	149	0.581849031583	0.9487843882714949
517	23	2	32,19	0,0	196	149	0.221723866414	0.580876958659369
522	1	1	0,4	0,0	298	149	1	1.0
526	6	7	12,13	18,1	227	149	0.232409142399	0.5904082272064503
536	0	1	0,1	7,7	182	149	1	1.0
551	2	3	0,0	2,0	152	149	1	1.0
585	4	12	2,0	4,4	284	149	0.109170645727	0.36052081969325467
586	5	12	4,2	4,4	287	149	0.60648588869	0.9598462929228685
587	2	1	2,2	0,0	152	149	0.173675682693	0.4943554253797178
612	19	5	15,7	5,6	152	149	0.296512052068	0.6783304684765247
620	2	101	0,3	40,39	171	149	0.910377020348	1.0
633	71	9	109,129	0,2	230	149	1.02553183365e-05	0.0005189516643930475
653	50	27	56,76	21,55	152	149	0.966885943834	1.0
654	0	8	0,1	7,15	152	149	1	1.0
656	0	2	7,4	5,1	249	149	0.00119839199839	0.01713216901734224
665	3	1	6,0	0,0	171	149	1	1.0
666	12	141	9,0	76,24	171	149	0.842757574498	1.0
667	30	0	84,66	2,0	298	149	0.46163035302	0.8593759386008852
670	8	62	6,12	47,44	167	149	0.387029775879	0.7919453950592118
671	63	17	55,62	13,20	152	149	0.913945932044	1.0
675	26	1	79,112	1,7	158	149	0.612186199241	0.9628266419241777
685	2	0	0,4	2,0	210	149	0.0670300516074	0.25674879555687297
687	2	39	9,5	52,47	298	149	0.0955095242206	0.32952853161826057
689	54	0	82,64	1,2	158	149	0.4809833841	0.8758530244968864
716	11	2	9,22	10,13	161	149	0.0330324856378	0.15726099692314927
717	7	24	18,22	45,27	152	149	0.154020215638	0.45591127897302136
720	0	8	2,2	0,4	223	149	0.00210220919158	0.0251005352163185
724	7	3	2,2	0,0	276	149	0.000351259091297	0.007118824963622152
728	2	4	0,0	10,7	186	149	0.033340626261	0.15840524071545156
729	25	190	27,13	121,113	196	149	0.418183391625	0.8229436126546297
739	0	100	0,2	83,69	167	149	1	1.0
741	19	83	2,9	65,43	170	149	0.0402225939059	0.18266328970371684
742	241	0	114,85	3,2	214	149	0.298483030158	0.680438616878782
743	89	4	58,36	0,0	214	149	0.0239225795097	0.12647625783901095
745	3	1	13,15	0,0	152	149	0.483295281576	0.877917582714694
748	3	2	2,0	0,0	179	149	1	1.0
755	5	0	2,3	0,4	167	149	0.0153494089082	0.09689884277097345
756	5	0	4,3	4,0	167	149	0.015415593836	0.09694856076951967
761	0	40	2,0	72,82	213	149	1	1.0
785	0	6	6,2	6,2	276	149	0.000933334305222	0.014374250072694376
786	1	39	0,0	30,26	298	149	0.902982932015	1.0
787	0	2	2,2	1,2	152	149	0.000486581853567	0.008942814945455079
790	1	54	0,0	34,14	157	149	0.501964057623	0.8906123609301057
795	1	19	5,1	13,11	169	149	0.0952112277383	0.3288552481361868
809	6	2	10,10	1,0	153	149	1	1.0
819	55	0	56,65	0,2	298	149	0.357743338083	0.754185122388764
820	34	0	31,14	2,0	189	149	0.336658860486	0.7276396252402496
823	2	12	3,5	13,13	298	149	0.362173561669	0.7581151113596665
825	4	2	2,7	2,0	298	149	0.170258277314	0.48767600006921114
830	34	2	59,35	9,2	204	149	0.300035924597	0.6807932580891359
832	30	0	52,27	0,2	204	149	0.812128781279	1.0
833	3	77	9,13	139,70	266	149	0.0501275041026	0.21393103491176546
834	2968	20	365,367	4,0	298	149	0.434990350126	0.838288577382297
836	93	0	25,14	0,2	217	149	0.821942081965	1.0
840	1	41	0,0	24,0	177	149	1	1.0
841	17	73	3,6	30,22	214	149	0.351058202581	0.7467011523188788
842	20	4	20,16	8,1	243	149	0.884970184399	1.0
851	20	0	87,40	1,1	218	149	0.574073022327	0.9409484808115558
857	192	12	2,0	0,0	213	149	1	1.0
861	8	120	4,7	33,18	188	149	0.0434307585107	0.19283740686923623
