ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
45	0	2	0,2	0,0	270	149	1
351	0	2	2,0	0,0	271	149	1
1037	17	0	16,5	0,2	336	149	0.472156509904
1038	13	0	14,5	0,2	598	149	0.342367668093
1299	0	4	2,0	0,0	955	149	1
1320	176	6	6,32	0,0	285	149	0.0100321355908
1321	48	6	2,4	0,0	319	149	0.000325855818056
1322	48	6	2,4	0,0	430	149	0.000136785900209
1590	2	0	0,0	0,2	224	149	1
1900	9	0	0,0	4,0	240	149	1
1935	0	4	2,0	16,8	779	149	1
2216	0	4	2,0	0,0	230	149	1
2494	2	0	0,0	0,2	194	149	1
2495	0	1	9,0	0,2	194	149	0.004874350415
3851	0	2	0,4	0,0	394	149	1
4695	2	0	0,2	0,2	239	149	1
5315	4	2	2,2	0,0	266	149	0.00197926966067
5738	0	2	0,2	0,0	259	149	1
5859	2	399	2,0	31,120	257	149	1
6973	4	2	0,0	0,2	216	149	1
6974	4	2	0,0	0,2	195	149	1
6977	4	4	0,4	0,0	209	149	1
7109	2	0	2,0	0,2	167	149	0.101339939141
7164	2	0	2,0	0,2	206	149	0.0590670525573
7538	0	4	4,0	0,0	312	149	1
7554	2	0	0,2	0,2	398	149	1
7604	0	6	0,2	0,4	334	149	1
7605	0	6	0,2	0,4	355	149	1
8434	0	2	0,4	0,0	465	149	1
8822	1	18	0,0	4,12	246	149	0.313378295518
8823	18	0	4,12	2,0	250	149	0.492726893579
8825	18	0	4,12	2,0	253	149	0.490297228951
8960	1	0	0,0	2,0	275	149	1
9769	4	2	0,0	0,2	312	149	1
10075	2	0	0,0	0,2	299	149	1
10477	0	2	4,0	0,0	232	149	1
10562	2	0	0,0	0,2	264	149	1
10882	2	14	0,2	0,4	325	149	1
10981	0	2	0,2	0,0	203	149	1
11336	0	2	2,0	0,0	315	149	1
11488	0	23	0,2	6,12	293	149	0.364056209996
12244	0	2	2,0	6,14	210	149	0.82435902927
12294	2	0	0,2	0,2	195	149	1
12523	143	0	72,67	0,2	255	149	0.517592402182
13899	0	2	2,0	0,0	212	149	1
13945	2	0	0,2	0,2	271	149	1
14034	6	2	4,2	0,2	170	149	0.248779476846
14035	0	6	0,4	4,0	173	149	0.0158991325735
14304	6	4	2,4	0,8	203	149	0.843644024198
14305	8	4	4,4	0,8	386	149	0.790172888837
14306	4	0	2,6	0,2	200	149	0.671662788587
14308	2	0	0,0	0,2	200	149	1
14678	2	0	0,2	0,2	319	149	1
14688	4	0	0,0	0,2	285	149	1
15358	4	2	2,4	0,0	333	149	0.00114134340247
15359	4	2	2,4	0,0	595	149	0.000269178729809
15431	0	4	4,0	0,0	796	149	1
15726	4	2	4,5	0,0	289	149	0.00149339608741
16147	0	2	0,2	0,0	238	149	1
16148	0	2	0,2	0,0	242	149	1
16765	2	0	0,4	0,2	203	149	1
16767	2	2	0,6	0,0	251	149	1
16770	0	2	2,0	6,0	281	149	1
17332	1	0	6,2	2,0	242	149	0.645709886104
17525	0	2	0,2	2,6	321	149	0.576278265186
17613	8	6	0,0	0,2	236	149	1
17688	2	20	0,0	5,0	326	149	1
17743	6	0	2,6	0,2	1238	149	0.103032659767
18015	2	2	6,4	0,0	626	149	4.28145080424e-05
18235	3	0	0,0	2,0	290	149	1
18606	0	2	2,2	0,4	242	149	0.00300536760308
18713	4	2	4,0	0,0	384	149	1
19298	4	2	0,4	0,0	385	149	1
19902	2	0	0,2	2,0	213	149	0.0362458282418
19903	4	0	0,4	2,0	240	149	0.0487883013231
20184	0	4	0,2	0,0	316	149	1
20185	0	4	0,2	0,0	285	149	1
20885	2	0	0,0	2,0	218	149	1
20955	2	0	0,0	0,2	324	149	1
21047	2	6	6,10	32,6	341	149	0.530661212802
21331	2	0	0,0	4,0	350	149	1
21389	2	4	0,6	0,0	314	149	1
21457	0	5	0,2	16,10	242	149	0.786702875107
21683	66	2	10,38	0,2	282	149	0.4896027312
21973	4	0	0,2	0,2	257	149	1
22490	2	6	0,0	0,2	276	149	1
22805	2	2	2,0	0,0	674	149	1
22949	0	2	2,0	0,6	302	149	0.229396425323
23565	2	0	4,0	2,0	167	149	1
23592	4	2	0,2	0,0	275	149	1
23789	2	0	0,0	2,0	195	149	1
23862	0	2	8,0	4,4	505	149	0.0158278431174
23889	2	0	0,2	2,0	273	149	0.0158923572848
24829	0	2	0,4	0,4	283	149	1
25109	2	0	10,13	0,2	230	149	0.788699558798
27106	0	4	6,6	0,0	227	149	2.40242781224e-09
27353	0	2	0,2	6,0	894	149	0.418809407138
27479	0	19	0,2	12,26	158	149	0.297959900193
29391	2	0	0,0	2,0	197	149	1
29392	0	2	4,2	0,0	347	149	2.15615009402e-07
30889	2	5	0,0	6,0	261	149	1
31093	2	4	0,0	0,8	289	149	1
31325	2	0	0,2	2,0	564	149	0.00139747223211
31349	10	0	13,36	1,0	425	149	1
31686	0	2	2,0	0,0	250	149	1
31697	2	0	0,0	2,2	914	149	1.42021960748e-05
32316	2	0	0,8	2,0	245	149	0.0526569394685
32738	2	0	0,0	2,0	194	149	1
32869	2	6	0,0	0,8	255	149	1
33162	2	0	0,0	0,2	278	149	1
33590	0	2	0,2	0,0	242	149	1
33673	2	0	0,0	2,0	253	149	1
34339	2	0	0,0	0,2	212	149	1
34418	0	2	2,0	0,6	267	149	0.209411562897
34669	2	2	0,0	2,2	173	149	0.00272594159069
34867	57	0	24,10	0,2	293	149	0.692954864886
34869	4	4	4,2	2,4	194	149	0.89567580202
35032	0	2	2,0	6,0	243	149	1
35549	2	0	2,0	0,2	282	149	0.0142381944183
35561	2	0	0,0	2,0	195	149	1
35659	2	0	2,4	0,2	277	149	0.496585975603
36103	0	4	2,0	0,0	267	149	1
36563	4	2	0,2	0,0	233	149	1
37027	4	10	0,2	0,6	180	149	1
37029	0	4	0,4	0,0	221	149	1
37576	0	2	2,4	0,0	252	149	3.23091599141e-07
37584	0	2	2,0	0,0	203	149	1
37586	0	2	8,2	0,0	300	149	1.77483360786e-07
37760	4	0	0,0	6,0	234	149	1
37870	8	0	0,0	0,2	155	149	1
37896	0	2	2,0	4,0	183	149	1
38150	0	2	4,0	0,0	275	149	1
38208	32	4	6,25	0,0	323	149	0.000800990040506
38301	4	0	4,12	0,4	266	149	0.010117058812
38312	4	2	0,0	0,2	409	149	1
38597	0	2	8,0	2,4	451	149	0.0173229354602
38598	0	2	8,0	2,4	491	149	0.0173386304864
39925	2	0	0,0	2,0	182	149	1
40081	44	2	4,4	0,0	251	149	0.36836137916
40117	2	2	0,0	0,6	236	149	1
40483	2	0	4,3	0,2	338	149	0.371586751039
40703	0	6	0,2	7,10	239	149	0.548615673916
40841	4	0	0,2	0,6	297	149	1
41696	2	0	0,10	0,2	173	149	1
42000	0	4	0,2	6,6	283	149	0.796462965961
42006	2	4	4,0	6,6	237	149	0.78819420771
42012	0	4	4,0	6,6	257	149	0.0403591282269
42152	68	2	6,22	0,0	229	149	0.740554164548
42153	2	0	0,4	0,2	276	149	1
42154	4	36	0,6	0,8	276	149	1
42155	2	0	0,4	0,2	298	149	1
43098	2	0	0,12	1,0	236	149	1
43162	2	2	4,0	0,0	352	149	1
43163	2	2	4,0	0,0	273	149	1
43427	0	2	0,2	0,0	384	149	1
43436	2	0	0,0	2,0	225	149	1
43828	0	6	0,2	2,4	1251	149	0.332248843582
44248	0	2	0,2	0,0	260	149	1
44347	0	6	0,2	2,6	473	149	0.427846378556
44846	0	2	2,0	0,2	254	149	0.201659924268
44957	0	2	2,0	0,0	358	149	1
45025	0	2	4,0	0,2	501	149	0.081489495391
45191	0	2	0,2	0,5	497	149	1
45578	2	0	0,0	2,0	271	149	1
45580	2	2	0,0	2,0	265	149	1
45964	2	0	0,2	0,2	253	149	1
45966	2	4	0,0	0,2	286	149	1
46054	6	0	2,4	2,0	263	149	0.338112220217
46833	30	2	6,22	0,0	341	149	0.144188245435
46834	47	2	10,24	0,0	416	149	0.200632830113
46835	2	16	10,2	2,8	419	149	0.0242791022266
47576	0	4	4,0	2,8	483	149	0.0865479641772
47933	0	2	2,0	0,2	388	149	0.270316587455
48090	6	2	8,4	0,0	317	149	0.00262912666353
48091	0	4	0,2	2,2	185	149	0.574653600863
48252	2	0	0,6	0,2	186	149	1
48758	2	4	0,2	0,0	197	149	1
48958	8	18	0,8	6,4	152	149	0.818320935617
48959	2	6	0,2	4,5	2936	149	0.649208087731
48964	18	6	6,4	4,5	171	149	0.128775073386
49878	0	4	0,2	0,5	293	149	1
50079	14	1	25,6	0,0	5229	149	0.0160263834315
51334	2	0	0,0	2,0	331	149	1
51492	2	12	0,0	12,8	495	149	0.763945644581
51814	4	0	0,0	2,8	367	149	5.71055193133e-08
