ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	0,282,0,0,2	0,112,0,0,4	0,0,0,0,142,0,0,0,0,0,546,0,0,0,0,23	0,0,0,0,24,0,0,2,2,2,204,0,0,0,5,28	212	176	1	1.0	NA,0.676,NA,NA,0.293	NA,NA,NA,NA,0.831,NA,NA,0.0,0.0,0.0,0.69,NA,NA,NA,0.0,0.405	0.209
1	0,126,0,0,0	0,271,0,0,4	0,0,0,0,13,0,0,0,0,0,218,0,0,0,0,11	0,0,0,0,149,0,0,0,0,0,610,0,0,0,8,27	176	185	1	1.0	NA,0.328,NA,NA,0.0	NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,0.273,NA,NA,NA,0.0,0.3	-0.0
2	0,69,0,0,0	0,360,0,0,2	0,0,0,0,41,0,0,0,0,0,167,0,0,0,0,5	0,0,0,0,160,0,0,0,0,0,532,0,0,0,6,5	176	203	1	1.0	NA,0.181,NA,NA,0.0	NA,NA,NA,NA,0.228,NA,NA,NA,NA,NA,0.266,NA,NA,NA,0.0,0.536	-0.167
10	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,2,0,0,0,0,13,0,0,0,21,6	0,0,0,0,26,0,4,0,0,0,6,0,0,0,12,0	203	222	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,1.0,0.0,NA,NA,NA,0.703,NA,NA,NA,0.657,1.0	-0.56
11	0,13,0,0,0	0,0,2,0,0	0,0,0,0,0,0,0,2,0,0,10,0,0,0,25,6	0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0	1104	295	1	1.0	NA,1.0,0.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.151,NA,NA,NA,0.527,1.0	-0.169
12	0,3,0,0,0	0,0,2,0,0	0,0,0,0,9,0,0,2,0,0,8,0,0,0,22,0	0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0	271	295	1	1.0	NA,1.0,0.0,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.367,NA,NA,NA,0.8,NA	-0.292
13	0,14,0,0,0	0,81,0,0,0	0,0,0,0,33,0,0,0,0,0,34,0,0,0,58,10	0,0,0,0,200,0,0,0,0,0,199,0,0,0,71,12	238	579	1	1.0	NA,0.296,NA,NA,NA	NA,NA,NA,NA,0.286,NA,NA,NA,NA,NA,0.294,NA,NA,NA,0.665,0.67	-0.183
14	0,2,0,0,0	0,7,0,0,0	0,0,0,0,46,2,0,0,0,0,23,0,0,0,32,1	0,0,0,0,51,2,0,2,0,0,31,0,0,0,31,3	187	238	1	1.0	NA,0.267,NA,NA,NA	NA,NA,NA,NA,0.534,0.56,NA,0.0,NA,NA,0.486,NA,NA,NA,0.568,0.298	-0.141
15	0,11,0,0,0	0,9,0,0,0	0,0,0,0,73,0,0,0,0,0,42,0,0,0,0,1	0,0,0,0,16,2,0,0,0,0,24,0,0,0,27,0	245	187	1	1.0	NA,0.483,NA,NA,NA	NA,NA,NA,NA,0.777,0.0,NA,NA,NA,NA,0.572,NA,NA,NA,0.0,1.0	0.013
16	0,1419,4,0,0	0,1463,2,0,4	0,0,0,0,2489,2,4,6,0,6,3266,0,0,0,578,75	0,0,0,0,1900,0,0,0,0,2,2409,0,0,0,464,72	279	262	1	1.0	NA,0.477,0.653,NA,0.0	NA,NA,NA,NA,0.552,1.0,1.0,1.0,NA,0.738,0.56,NA,NA,NA,0.539,0.494	-0.359
17	0,29,0,0,0	0,1,0,0,0	0,0,0,0,145,0,2,0,0,0,671,0,0,0,92,40	0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0	293	230	1	1.0	NA,0.958,NA,NA,NA	NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,0.971,NA,NA,NA,1.0,1.0	-0.036
18	0,0,0,0,0	0,26,0,0,2	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6	314	294	1	1.0	NA,0.0,NA,NA,0.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,NA,NA,0.0	-0.039
19	0,135,0,0,0	0,26,0,0,2	0,0,0,0,372,0,0,2,0,0,383,0,0,0,145,38	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6	245	294	1	1.0	NA,0.862,NA,NA,0.0	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.977,NA,NA,NA,1.0,0.884	-0.541
20	0,135,0,0,0	0,0,0,0,0	0,0,0,0,372,0,0,2,0,0,383,0,0,0,145,38	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	245	314	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.998,NA,NA,NA,1.0,1.0	0.0
21	0,95,0,0,2	0,52,0,0,0	0,0,0,0,415,0,0,0,0,4,604,0,0,0,192,37	0,0,0,0,129,0,0,0,0,0,192,0,0,0,91,8	317	217	1	1.0	NA,0.556,NA,NA,1.0	NA,NA,NA,NA,0.688,NA,NA,NA,NA,1.0,0.683,NA,NA,NA,0.591,0.76	0.034
22	0,9449,0,0,54	0,7917,4,0,9	0,0,0,0,3051,0,0,17,6,22,6063,0,0,0,590,430	0,0,0,0,1360,4,2,8,0,0,2497,0,0,0,1019,321	246	219	1	1.0	NA,0.515,0.0,NA,0.842	NA,NA,NA,NA,0.666,0.0,0.0,0.654,1.0,1.0,0.684,NA,NA,NA,0.34,0.544	-0.091
24	0,1,0,0,0	0,5,0,0,2	0,0,0,0,101,0,0,0,2,0,67,0,0,0,38,6	0,0,0,0,25,0,0,2,0,0,55,0,0,0,63,5	294	234	1	1.0	NA,0.137,NA,NA,0.0	NA,NA,NA,NA,0.763,NA,NA,0.0,1.0,NA,0.492,NA,NA,NA,0.324,0.489	-0.443
29	0,0,0,0,0	0,11,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,4	209	221	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,0.029,0.0	-0.263
33	0,0,0,0,0	0,3,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0	294	294	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081,NA	-0.081
36	0,9,6,0,0	0,0,0,0,0	0,0,0,0,48,2,0,0,0,0,15,0,0,0,45,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	210	337	1	1.0	NA,1.0,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.828	0.034
37	0,38,6,0,0	0,2,0,0,0	0,0,0,0,58,2,0,0,0,0,40,0,0,0,54,9	0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0	210	264	1	1.0	NA,0.96,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.878,NA,NA,NA,0.85,1.0	0.034
45	0,2,0,0,0	0,0,0,0,0	0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1	0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0	216	216	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA,1.0	0.49
47	0,11,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,53,5	0,0,0,0,0,0,0,0,0,0,9,0,0,0,22,1	275	298	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,NA,NA,NA,0.723,0.844	0.352
48	0,329,0,0,0	0,290,0,0,0	0,0,0,0,333,0,0,0,0,0,931,0,0,0,3,18	0,0,0,0,356,0,0,0,0,0,812,0,0,0,86,39	233	245	1	1.0	NA,0.544,NA,NA,NA	NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,0.547,NA,NA,NA,0.035,0.327	0.193
49	0,60,0,0,0	0,28,0,0,0	0,0,0,0,141,0,0,0,0,0,191,0,0,0,0,37	0,0,0,0,76,0,0,0,0,0,66,0,0,0,3,24	326	220	1	1.0	NA,0.591,NA,NA,NA	NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,0.661,NA,NA,NA,0.0,0.51	0.159
50	0,44,0,0,0	0,98,0,0,0	0,0,0,0,79,0,0,0,0,0,97,0,0,0,65,4	0,0,0,0,231,0,0,0,0,0,145,0,0,0,0,9	264	259	1	1.0	NA,0.306,NA,NA,NA	NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,0.396,NA,NA,NA,1.0,0.304	-0.182
51	0,4,0,0,0	0,149,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,294,2,0,0,0,0,235,0,0,0,9,11	262	259	1	1.0	NA,0.026,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.082	0.01
52	0,47,0,0,0	0,60,0,0,0	0,0,0,0,41,2,0,0,0,0,77,0,0,0,9,0	0,0,0,0,52,0,0,0,0,0,79,0,0,0,22,1	259	225	1	1.0	NA,0.405,NA,NA,NA	NA,NA,NA,NA,0.407,1.0,NA,NA,NA,NA,0.459,NA,NA,NA,0.262,0.0	-0.021
53	0,24,0,0,0	0,98,0,0,0	0,0,0,0,102,0,0,0,0,0,70,0,0,0,0,13	0,0,0,0,188,0,0,0,0,0,139,0,0,0,29,22	225	277	1	1.0	NA,0.232,NA,NA,NA	NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,0.383,NA,NA,NA,0.0,0.421	-0.069
54	0,34,0,0,0	0,44,0,0,0	0,0,0,0,0,0,0,0,0,0,43,0,0,0,2,12	0,0,0,0,23,0,0,0,0,0,18,0,0,0,9,1	230	198	1	1.0	NA,0.399,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.673,NA,NA,NA,0.161,0.912	-0.037
55	0,48,0,0,0	0,58,0,0,0	0,0,0,0,162,0,0,0,0,0,97,0,0,0,3,0	0,0,0,0,126,0,2,0,0,0,95,0,0,0,13,1	211	218	1	1.0	NA,0.461,NA,NA,NA	NA,NA,NA,NA,0.571,NA,0.0,NA,NA,NA,0.513,NA,NA,NA,0.193,0.0	0.206
57	0,211,0,0,2	0,316,0,0,0	0,0,0,0,273,0,0,0,0,2,702,0,0,0,91,62	0,0,0,0,411,0,0,0,0,0,639,0,0,0,123,51	329	284	1	1.0	NA,0.366,NA,NA,1.0	NA,NA,NA,NA,0.364,NA,NA,NA,NA,1.0,0.487,NA,NA,NA,0.39,0.512	0.132
58	0,268,0,0,0	0,557,0,0,0	0,0,0,0,769,0,0,0,0,0,823,0,0,0,198,0	0,0,0,0,965,2,0,2,0,0,707,0,0,0,332,3	228	220	1	1.0	NA,0.317,NA,NA,NA	NA,NA,NA,NA,0.435,0.0,NA,0.0,NA,NA,0.529,NA,NA,NA,0.365,0.0	0.096
59	0,279,0,0,0	0,686,0,0,0	0,0,0,0,759,0,0,0,0,0,808,0,0,0,200,0	0,0,0,0,1339,0,0,3,0,4,555,0,0,0,417,0	228	235	1	1.0	NA,0.295,NA,NA,NA	NA,NA,NA,NA,0.369,NA,NA,0.0,NA,0.0,0.6,NA,NA,NA,0.331,NA	0.035
60	0,340,0,0,0	0,676,0,0,0	0,0,0,0,1202,0,0,2,0,2,662,0,0,0,252,9	0,0,0,0,1349,0,0,3,0,4,564,0,0,0,408,0	220	235	1	1.0	NA,0.349,NA,NA,NA	NA,NA,NA,NA,0.488,NA,NA,0.416,NA,0.348,0.556,NA,NA,NA,0.398,1.0	-0.185
62	0,63,6,0,0	0,1,0,0,0	0,0,0,0,167,2,0,0,0,0,235,0,0,0,114,6	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	301	241	1	1.0	NA,0.981,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.989,NA,NA,NA,1.0,1.0	-0.007
63	0,6,0,0,0	0,33,6,0,0	0,0,0,0,0,0,0,0,0,0,39,0,0,0,22,18	0,0,0,0,130,2,0,0,0,0,98,0,0,0,72,1	216	301	1	1.0	NA,0.202,0.0,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.357,NA,NA,NA,0.299,0.962	-0.223
64	0,145,0,0,0	0,69,0,0,0	0,0,0,0,218,0,0,0,0,0,423,0,0,0,11,15	0,0,0,0,71,0,0,0,0,0,212,0,0,0,45,14	243	220	1	1.0	NA,0.655,NA,NA,NA	NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,0.644,NA,NA,NA,0.181,0.492	0.142
65	0,15,0,0,0	0,17,0,0,0	0,0,0,0,41,0,0,2,0,0,61,0,0,0,0,5	0,0,0,0,50,0,0,0,0,0,46,0,0,0,2,0	337	289	1	1.0	NA,0.431,NA,NA,NA	NA,NA,NA,NA,0.413,NA,NA,1.0,NA,NA,0.532,NA,NA,NA,0.0,1.0	-0.158
67	0,84,4,0,0	0,130,1,0,0	0,0,0,0,705,0,4,4,0,0,462,0,0,0,411,41	0,0,0,0,525,0,0,0,0,0,428,0,0,0,416,8	229	211	1	1.0	NA,0.373,0.787,NA,NA	NA,NA,NA,NA,0.553,NA,1.0,1.0,NA,NA,0.499,NA,NA,NA,0.477,0.825	-0.146
68	0,4097,4,0,4	0,920,2,0,0	0,0,0,0,6716,2,0,14,4,0,5110,0,0,0,3132,455	0,0,0,0,1192,0,0,1,0,0,687,0,0,0,574,89	647	230	1	1.0	NA,0.613,0.416,NA,1.0	NA,NA,NA,NA,0.667,1.0,NA,0.833,1.0,NA,0.726,NA,NA,NA,0.66,0.645	-0.114
69	0,2,0,0,2	0,53,0,0,0	0,0,0,0,80,0,0,0,0,0,54,0,0,0,8,3	0,0,0,0,240,0,0,0,0,0,136,0,0,0,27,13	197	301	1	1.0	NA,0.055,NA,NA,1.0	NA,NA,NA,NA,0.337,NA,NA,NA,NA,NA,0.378,NA,NA,NA,0.312,0.261	0.205
70	0,128,0,0,0	0,76,0,0,0	0,0,0,0,477,0,0,0,0,0,195,0,0,0,1,10	0,0,0,0,260,0,0,0,0,0,101,0,0,0,5,3	267	212	1	1.0	NA,0.572,NA,NA,NA	NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,0.605,NA,NA,NA,0.137,0.726	0.057
71	0,2,0,0,0	0,86,0,0,0	0,0,0,0,78,0,0,0,0,0,11,0,0,0,0,0	0,0,0,0,296,0,0,0,0,0,45,0,0,0,8,16	303	220	1	1.0	NA,0.017,NA,NA,NA	NA,NA,NA,NA,0.161,NA,NA,NA,NA,NA,0.151,NA,NA,NA,0.0,0.0	-0.061
78	0,16,0,0,0	0,22,0,0,0	0,0,0,0,41,0,0,0,0,0,66,0,0,0,5,6	0,0,0,0,14,0,0,0,0,0,19,0,0,0,5,2	428	296	1	1.0	NA,0.335,NA,NA,NA	NA,NA,NA,NA,0.669,NA,NA,NA,NA,NA,0.706,NA,NA,NA,0.409,0.675	-0.28
79	0,0,0,0,0	0,19,0,0,0	0,0,0,0,0,0,0,2,0,0,38,0,0,0,24,1	0,0,0,0,35,0,0,0,0,0,70,0,0,0,14,6	313	428	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,0.426,NA,NA,NA,0.701,0.186	-0.463
80	0,13,0,0,0	0,10,0,0,0	0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,1	0,0,0,0,21,0,0,0,0,0,35,0,0,0,3,0	305	313	1	1.0	NA,0.572,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.451,NA,NA,NA,0.406,1.0	0.108
81	0,26,0,0,2	0,4,0,0,0	0,0,0,0,12,0,0,0,0,0,28,0,0,0,26,0	0,0,0,0,0,0,0,2,0,0,38,0,0,0,24,1	275	305	1	1.0	NA,0.878,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,0.45,NA,NA,NA,0.546,0.0	0.54
82	0,5,0,0,0	0,0,0,0,0	0,0,0,0,10,2,0,0,0,0,1,0,0,0,10,2	0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1	219	186	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.108,NA,NA,NA,0.809,0.629	0.291
83	0,0,0,0,0	0,77,0,0,0	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,39,0,0,2,0,0,35,0,0,0,6,8	328	377	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.171,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,0.0,0.0	-0.034
84	0,31,0,0,0	0,77,0,0,0	0,0,0,0,42,0,0,0,0,0,28,0,0,0,14,7	0,0,0,0,39,0,0,2,0,0,35,0,0,0,6,8	258	377	1	1.0	NA,0.37,NA,NA,NA	NA,NA,NA,NA,0.611,NA,NA,0.0,NA,NA,0.539,NA,NA,NA,0.773,0.561	-0.127
85	0,69,0,0,0	0,16,0,0,0	0,0,0,0,28,0,0,2,0,0,22,0,0,0,27,5	0,0,0,0,11,0,0,0,0,0,18,0,0,0,10,0	321	210	1	1.0	NA,0.738,NA,NA,NA	NA,NA,NA,NA,0.625,NA,NA,1.0,NA,NA,0.444,NA,NA,NA,0.639,1.0	-0.004
86	0,155,0,0,0	0,82,0,0,0	0,0,0,0,393,0,0,0,0,0,512,0,0,0,237,4	0,0,0,0,170,0,0,1,0,0,215,0,0,0,107,28	273	219	1	1.0	NA,0.603,NA,NA,NA	NA,NA,NA,NA,0.65,NA,NA,0.0,NA,NA,0.656,NA,NA,NA,0.64,0.103	0.193
87	0,152,0,0,0	0,80,0,0,0	0,0,0,0,375,0,0,0,0,0,763,0,0,0,92,24	0,0,0,0,180,0,0,0,0,0,417,0,0,0,50,15	342	319	1	1.0	NA,0.639,NA,NA,NA	NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,0.631,NA,NA,NA,0.632,0.599	0.008
88	0,152,0,0,0	0,0,0,0,0	0,0,0,0,375,0,0,0,0,0,763,0,0,0,92,24	0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0	342	238	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.987,NA,NA,NA,1.0,1.0	0.003
89	0,79,0,0,0	0,147,0,0,0	0,0,0,0,220,0,0,0,0,0,466,0,0,0,34,3	0,0,0,0,369,0,0,0,0,0,432,0,0,0,119,28	319	302	1	1.0	NA,0.337,NA,NA,NA	NA,NA,NA,NA,0.361,NA,NA,NA,NA,NA,0.505,NA,NA,NA,0.213,0.092	0.044
90	0,8,0,0,0	0,147,0,0,0	0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0	0,0,0,0,369,0,0,0,0,0,432,0,0,0,119,28	307	302	1	1.0	NA,0.051,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.082,NA,NA,NA,0.0,0.0	0.03
91	0,139,0,0,0	0,283,0,0,0	0,0,0,0,346,0,0,0,0,0,709,0,0,0,38,20	0,0,0,0,663,0,0,0,0,0,459,0,0,0,28,0	315	265	1	1.0	NA,0.292,NA,NA,NA	NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,0.565,NA,NA,NA,0.533,1.0	-0.309
92	0,87,0,0,0	0,9,0,0,0	0,0,0,0,125,0,0,0,0,0,70,0,0,0,0,7	0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0	228	220	1	1.0	NA,0.903,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,1.0	-0.015
93	0,0,0,0,0	0,49,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,183,0,0,0,0,0,187,0,0,0,55,3	211	308	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.008,NA,NA,NA,0.0,0.0	-0.002
94	0,5,0,0,0	0,40,0,0,0	0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0	0,0,0,0,97,0,0,0,0,0,170,0,0,0,7,14	223	247	1	1.0	NA,0.122,NA,NA,NA	NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,0.044,NA,NA,NA,0.0,0.0	0.081
95	0,0,0,0,0	0,35,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,66,0,0,0,0,0,116,0,0,0,7,1	258	247	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.657	-0.164
97	0,50,0,0,0	0,5,0,0,0	0,0,0,0,208,0,0,0,0,0,12,0,0,0,14,2	0,0,0,0,77,0,0,0,0,0,7,0,0,0,0,3	234	240	1	1.0	NA,0.911,NA,NA,NA	NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,0.637,NA,NA,NA,1.0,0.406	0.217
98	0,4,0,0,0	0,18,0,0,0	0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,61	0,0,0,0,142,0,0,0,0,2,176,0,0,0,194,82	203	374	1	1.0	NA,0.29,NA,NA,NA	NA,NA,NA,NA,0.037,NA,NA,NA,NA,0.0,0.239,NA,NA,NA,0.0,0.578	0.119
99	0,82,0,0,0	0,81,0,0,0	0,0,0,0,231,0,0,4,0,0,61,0,0,0,67,4	0,0,0,0,25,2,0,0,0,0,44,0,0,0,70,10	239	294	1	1.0	NA,0.555,NA,NA,NA	NA,NA,NA,NA,0.919,0.0,NA,1.0,NA,NA,0.63,NA,NA,NA,0.541,0.33	-0.015
100	0,95,0,0,0	0,81,0,0,0	0,0,0,0,216,0,0,6,0,0,63,0,0,0,64,4	0,0,0,0,25,2,0,0,0,0,44,0,0,0,70,10	244	294	1	1.0	NA,0.586,NA,NA,NA	NA,NA,NA,NA,0.912,0.0,NA,1.0,NA,NA,0.633,NA,NA,NA,0.524,0.325	0.02
101	0,5,0,0,0	0,10,0,0,0	0,0,0,0,88,0,0,0,0,0,36,0,0,0,41,9	0,0,0,0,13,0,0,0,0,2,6,0,0,0,15,5	274	240	1	1.0	NA,0.305,NA,NA,NA	NA,NA,NA,NA,0.856,NA,NA,NA,NA,0.0,0.84,NA,NA,NA,0.705,0.612	-0.298
102	0,1,0,0,0	0,0,0,0,0	0,0,0,0,57,0,0,0,0,0,35,0,0,0,54,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	297	508	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.885	0.029
105	0,0,0,0,0	0,3,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,2	301	330	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397,NA,NA,NA,0.099,0.0	-0.165
106	0,15,0,0,0	0,0,0,0,0	0,0,0,0,67,0,0,0,0,0,11,0,0,0,16,3	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	356	328	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.835,NA,NA,NA,1.0,1.0	0.041
107	0,2,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0	341	344	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	1.0
109	0,0,0,0,2	0,0,0,0,0	0,0,0,0,24,2,0,0,2,0,16,0,0,0,40,2	0,0,0,0,102,0,0,0,0,0,80,0,0,0,53,3	241	249	1	1.0	NA,NA,NA,NA,1.0	NA,NA,NA,NA,0.196,1.0,NA,NA,1.0,NA,0.171,NA,NA,NA,0.438,0.408	0.465
110	0,15,0,0,0	0,21,0,0,0	0,0,0,0,0,0,0,2,0,2,68,0,0,0,21,0	0,0,0,0,23,0,0,0,0,0,55,0,0,0,54,5	219	221	1	1.0	NA,0.419,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,1.0,NA,1.0,0.555,NA,NA,NA,0.282,0.0	-0.054
111	0,0,0,0,0	0,43,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,193,6	0,0,0,0,5,0,0,0,0,0,193,0,0,0,65,22	391	221	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.055,NA,NA,NA,0.627,0.134	-0.204
112	0,0,0,0,0	0,49,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,193,6	0,0,0,0,26,0,0,0,0,0,332,0,0,0,104,21	391	218	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.032,NA,NA,NA,0.509,0.137	-0.17
115	0,2,0,0,0	0,1,0,0,0	0,0,0,0,63,0,0,2,0,0,72,0,0,0,66,40	0,0,0,0,105,0,0,0,0,0,81,0,0,0,71,111	299	436	1	1.0	NA,0.745,NA,NA,NA	NA,NA,NA,NA,0.467,NA,NA,1.0,NA,NA,0.564,NA,NA,NA,0.575,0.344	0.155
116	0,0,0,0,0	0,2,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0	226	299	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293,NA,NA,NA,NA,NA	-0.293
117	0,12,0,0,0	0,2,0,0,0	0,0,0,0,61,0,0,0,0,0,23,0,0,0,0,8	0,0,0,0,20,0,0,0,0,0,2,0,0,0,5,3	274	314	1	1.0	NA,0.873,NA,NA,NA	NA,NA,NA,NA,0.778,NA,NA,NA,NA,NA,0.929,NA,NA,NA,0.0,0.753	0.258
118	0,12,0,0,0	0,2,0,0,0	0,0,0,0,61,0,0,0,0,0,14,0,0,0,1,6	0,0,0,0,20,0,0,0,0,0,2,0,0,0,5,3	270	314	1	1.0	NA,0.875,NA,NA,NA	NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,0.891,NA,NA,NA,0.189,0.699	0.235
119	0,2,0,0,0	0,14,0,0,0	0,0,0,0,9,0,0,0,0,0,2,0,0,0,6,2	0,0,0,0,108,0,0,0,0,0,35,0,0,0,0,31	269	494	1	1.0	NA,0.208,NA,NA,NA	NA,NA,NA,NA,0.133,NA,NA,NA,NA,NA,0.095,NA,NA,NA,1.0,0.106	-0.126
120	0,8,0,0,0	0,51,4,0,0	0,0,0,0,243,2,0,0,0,0,198,0,0,0,158,22	0,0,0,0,273,0,0,2,0,0,156,0,0,0,249,26	264	281	1	1.0	NA,0.143,0.0,NA,NA	NA,NA,NA,NA,0.487,1.0,NA,0.0,NA,NA,0.575,NA,NA,NA,0.403,0.474	-0.418
