IncLevel1	IncLevel2	IncLevelDifference
0.0	NA,0.54	-0.54
1.0	NA,0.0	1.0
1.0	NA,0.0	1.0
0.0	NA,1.0	-1.0
0.107	0.0,0.0	0.107
1.0	NA,0.591	0.409
0.077	NA,0.0	0.077
1.0	0.0,NA	1.0
0.0	0.144,0.0	-0.072
1.0	1.0,0.0	0.5
0.374	0.0,0.0	0.374
0.037	0.0,0.0	0.037
1.0	0.0,1.0	0.5
1.0	0.0,NA	1.0
0.472	0.394,0.308	0.121
0.0	0.03,0.0	-0.015
0.0	NA,1.0	-1.0
0.662	1.0,1.0	-0.338
0.0	1.0,NA	-1.0
0.0	1.0,1.0	-1.0
0.0	0.086,0.0	-0.043
0.0	0.5,0.0	-0.25
0.143	0.0,0.0	0.143
0.0	1.0,NA	-1.0
0.0	NA,1.0	-1.0
0.322	NA,0.0	0.322
1.0	0.407,1.0	0.296
0.0	NA,1.0	-1.0
1.0	1.0,0.6	0.2
1.0	1.0,0.881	0.059
1.0	NA,0.0	1.0
0.0	NA,1.0	-1.0
0.0	0.0,1.0	-0.5
0.0	0.0,1.0	-0.5
0.0	NA,0.119	-0.119
0.0	NA,0.745	-0.745
0.143	1.0,0.333	-0.523
1.0	1.0,0.145	0.427
1.0	0.333,0.0	0.834
1.0	0.333,1.0	0.334
1.0	NA,0.661	0.339
0.0	NA,0.476	-0.476
0.0	1.0,0.0	-0.5
0.0	0.333,0.0	-0.167
0.326	NA,1.0	-0.674
0.596	NA,0.747	-0.151
