ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
187	4	8	0,2	4,2	245	325	0.144222630882	0.34252874834474994
259	2	0	2,0	2,2	327	277	9.11243374346e-06	8.656812056286999e-05
275	10	12	0,4	4,7	254	271	0.107439201995	0.3091791786291
415	2	4	0,4	0,0	305	294	1	1.0
471	2	4	0,4	0,0	209	176	1	1.0
480	2	2	8,2	2,0	317	206	0.0315371025713	0.14740466451670714
533	4	1	0,4	2,0	334	332	0.934308812776	1.0
606	0	1	2,0	0,0	230	275	1	1.0
711	0	2	2,0	0,0	184	199	1	1.0
712	0	2	2,0	0,0	232	199	1	1.0
719	6	0	2,0	4,4	248	288	2.42073078938e-06	3.201111502611e-05
788	0	2	2,2	4,4	212	803	0.000649110332663	0.0036999288961791
806	2	0	0,2	2,0	249	240	0.108483922326	0.3091791786291
872	0	4	0,2	0,2	289	286	1	1.0
901	0	4	4,2	26,66	3110	5411	0.034035673803	0.14740466451670714
997	4	0	32,8	2,2	287	245	0.0759020668303	0.2561662071989823
1185	2	0	0,0	0,2	199	242	1	1.0
1227	4	4	6,8	0,6	641	249	0.129527913284	0.3210039590081739
1286	4	2	0,0	2,4	223	294	2.80799254615e-06	3.201111502611e-05
1288	2	0	0,0	0,2	441	371	1	1.0
1362	2	0	0,0	0,2	266	204	1	1.0
1363	2	0	0,0	0,4	266	259	1	1.0
1364	2	0	0,0	0,4	266	317	1	1.0
1486	12	8	14,16	8,6	315	246	0.480966809848	1.0
1523	4	4	0,2	0,5	262	335	1	1.0
1583	4	0	0,0	4,0	296	302	1	1.0
1655	27	8	0,2	4,0	275	314	0.507549016613	1.0
1666	2	0	0,0	0,2	293	376	1	1.0
1822	2	0	6,9	0,2	230	191	0.885950758819	1.0
2202	0	2	4,0	0,0	299	269	1	1.0
2253	0	2	2,6	0,0	305	293	1.2870281495e-06	2.44535348405e-05
2325	0	4	0,2	2,0	262	277	0.104757784633	0.3091791786291
2326	0	4	0,2	2,0	299	277	0.128366520691	0.3210039590081739
2611	2	0	2,0	0,2	277	211	0.0733435613695	0.2561662071989823
2707	0	2	2,0	0,0	246	329	1	1.0
2711	2	0	0,0	0,2	245	173	1	1.0
2712	2	0	0,0	0,2	212	227	1	1.0
2775	2	0	0,0	2,2	194	300	4.58545591497e-07	1.30685493576645e-05
2805	2	0	2,6	0,4	246	246	0.0132028987264	0.06841502067316364
2820	0	2	4,0	0,0	411	610	1	1.0
2917	8	0	0,2	2,0	343	343	0.115887697298	0.31455232123742854
3027	0	2	0,2	0,0	253	289	1	1.0
3076	6	0	0,0	10,2	285	235	2.60130916807e-10	1.4827462257998999e-08
3158	0	4	4,6	2,2	240	230	7.43841181745e-05	0.0005299868419933125
3159	0	4	4,6	2,2	240	236	7.25506235267e-05	0.0005299868419933125
3171	2	16	0,0	2,12	182	319	0.0764004477611	0.2561662071989823
3189	2	0	0,0	0,2	246	310	1	1.0
3332	4	4	8,4	8,8	267	323	0.606963670633	1.0
3361	4	8	0,2	0,0	326	299	1	1.0
3403	4	0	8,2	2,0	377	315	0.84123393837	1.0
3404	4	10	12,0	4,2	299	377	0.781181037871	1.0
3422	0	2	1,2	2,2	227	727	0.000288867893792	0.0018294966606826667
3495	2	12	0,0	12,6	177	337	0.0362046544427	0.14740466451670714
3496	2	12	0,8	12,6	244	337	0.799925791237	1.0
3733	6	0	0,0	0,2	219	210	1	1.0
3798	22	16	6,6	6,10	296	335	0.241741531718	0.55117069231704
3812	2	2	2,4	0,4	223	208	0.301929253785	0.661921825605577
